neighborhoodCrimeStatisticsID,neighborhood,ucrDescription,number,Date
5462,PROSPECT PARK - EAST RIVER ROAD,Larceny,14.0,2018-03-01
5464,PROSPECT PARK - EAST RIVER ROAD,Robbery,1.0,2018-03-01
5467,REGINA,Auto Theft,2.0,2018-03-01
5468,REGINA,Burglary,1.0,2018-03-01
5470,REGINA,Larceny,2.0,2018-03-01
5472,REGINA,Robbery,2.0,2018-03-01
5473,SEWARD,Aggravated Assault,1.0,2018-03-01
5475,SEWARD,Auto Theft,1.0,2018-03-01
5476,SEWARD,Burglary,2.0,2018-03-01
5478,SEWARD,Larceny,14.0,2018-03-01
5479,SEWARD,Rape,1.0,2018-03-01
5486,SHERIDAN,Larceny,6.0,2018-03-01
5491,SHINGLE CREEK,Auto Theft,7.0,2018-03-01
5492,SHINGLE CREEK,Burglary,4.0,2018-03-01
5494,SHINGLE CREEK,Larceny,6.0,2018-03-01
5497,ST. ANTHONY EAST,Aggravated Assault,2.0,2018-03-01
5499,ST. ANTHONY EAST,Auto Theft,1.0,2018-03-01
5502,ST. ANTHONY EAST,Larceny,3.0,2018-03-01
5510,ST. ANTHONY WEST,Larceny,2.0,2018-03-01
5515,STANDISH,Auto Theft,2.0,2018-03-01
5516,STANDISH,Burglary,4.0,2018-03-01
5518,STANDISH,Larceny,9.0,2018-03-01
5519,STANDISH,Rape,1.0,2018-03-01
5521,STEVENS SQUARE - LORING HEIGHTS,Aggravated Assault,1.0,2018-03-01
5523,STEVENS SQUARE - LORING HEIGHTS,Auto Theft,2.0,2018-03-01
5524,STEVENS SQUARE - LORING HEIGHTS,Burglary,2.0,2018-03-01
5526,STEVENS SQUARE - LORING HEIGHTS,Larceny,8.0,2018-03-01
5528,STEVENS SQUARE - LORING HEIGHTS,Robbery,1.0,2018-03-01
5532,SUMNER - GLENWOOD,Burglary,1.0,2018-03-01
5534,SUMNER - GLENWOOD,Larceny,3.0,2018-03-01
5536,SUMNER - GLENWOOD,Robbery,1.0,2018-03-01
5537,TANGLETOWN,Aggravated Assault,1.0,2018-03-01
5542,TANGLETOWN,Larceny,4.0,2018-03-01
5548,UNIVERSITY OF MINNESOTA,Burglary,2.0,2018-03-01
5550,UNIVERSITY OF MINNESOTA,Larceny,2.0,2018-03-01
5551,UNIVERSITY OF MINNESOTA,Rape,1.0,2018-03-01
5553,VENTURA VILLAGE,Aggravated Assault,4.0,2018-03-01
5554,VENTURA VILLAGE,Arson,1.0,2018-03-01
5555,VENTURA VILLAGE,Auto Theft,2.0,2018-03-01
5556,VENTURA VILLAGE,Burglary,1.0,2018-03-01
5558,VENTURA VILLAGE,Larceny,11.0,2018-03-01
5560,VENTURA VILLAGE,Robbery,2.0,2018-03-01
5563,VICTORY,Auto Theft,7.0,2018-03-01
5564,VICTORY,Burglary,3.0,2018-03-01
5566,VICTORY,Larceny,7.0,2018-03-01
5567,VICTORY,Rape,1.0,2018-03-01
5571,WAITE PARK,Auto Theft,3.0,2018-03-01
5572,WAITE PARK,Burglary,1.0,2018-03-01
5574,WAITE PARK,Larceny,3.0,2018-03-01
5576,WAITE PARK,Robbery,1.0,2018-03-01
5577,WEBBER - CAMDEN,Aggravated Assault,3.0,2018-03-01
5579,WEBBER - CAMDEN,Auto Theft,3.0,2018-03-01
5580,WEBBER - CAMDEN,Burglary,1.0,2018-03-01
5582,WEBBER - CAMDEN,Larceny,6.0,2018-03-01
5584,WEBBER - CAMDEN,Robbery,1.0,2018-03-01
5585,WENONAH,Aggravated Assault,1.0,2018-03-01
5588,WENONAH,Burglary,3.0,2018-03-01
5590,WENONAH,Larceny,4.0,2018-03-01
5592,WENONAH,Robbery,1.0,2018-03-01
5601,WHITTIER,Aggravated Assault,15.0,2018-03-01
5602,WHITTIER,Arson,1.0,2018-03-01
5603,WHITTIER,Auto Theft,5.0,2018-03-01
5604,WHITTIER,Burglary,5.0,2018-03-01
5606,WHITTIER,Larceny,47.0,2018-03-01
5607,WHITTIER,Rape,1.0,2018-03-01
5608,WHITTIER,Robbery,4.0,2018-03-01
5609,WILLARD - HAY,Aggravated Assault,3.0,2018-03-01
5611,WILLARD - HAY,Auto Theft,7.0,2018-03-01
5612,WILLARD - HAY,Burglary,2.0,2018-03-01
5614,WILLARD - HAY,Larceny,10.0,2018-03-01
5616,WILLARD - HAY,Robbery,3.0,2018-03-01
5619,WINDOM,Auto Theft,2.0,2018-03-01
5620,WINDOM,Burglary,2.0,2018-03-01
5622,WINDOM,Larceny,8.0,2018-03-01
5624,WINDOM,Robbery,1.0,2018-03-01
5625,WINDOM PARK,Aggravated Assault,3.0,2018-03-01
5628,WINDOM PARK,Burglary,4.0,2018-03-01
5630,WINDOM PARK,Larceny,7.0,2018-03-01
5631,WINDOM PARK,Rape,1.0,2018-03-01
5635,** NOT ASSIGNED **,Auto Theft,3.0,2018-04-01
5636,** NOT ASSIGNED **,Burglary,2.0,2018-04-01
5638,** NOT ASSIGNED **,Larceny,4.0,2018-04-01
5639,** NOT ASSIGNED **,Rape,2.0,2018-04-01
5640,** NOT ASSIGNED **,Robbery,2.0,2018-04-01
5641,ARMATAGE,Aggravated Assault,1.0,2018-04-01
5644,ARMATAGE,Burglary,1.0,2018-04-01
5646,ARMATAGE,Larceny,3.0,2018-04-01
5652,AUDUBON PARK,Burglary,3.0,2018-04-01
5654,AUDUBON PARK,Larceny,5.0,2018-04-01
5659,BANCROFT,Auto Theft,1.0,2018-04-01
5662,BANCROFT,Larceny,3.0,2018-04-01
5665,BELTRAMI,Aggravated Assault,1.0,2018-04-01
5670,BELTRAMI,Larceny,2.0,2018-04-01
5675,BOTTINEAU,Auto Theft,1.0,2018-04-01
5676,BOTTINEAU,Burglary,2.0,2018-04-01
5678,BOTTINEAU,Larceny,3.0,2018-04-01
5683,BRYANT,Auto Theft,1.0,2018-04-01
5684,BRYANT,Burglary,4.0,2018-04-01
5686,BRYANT,Larceny,6.0,2018-04-01
5688,BRYANT,Robbery,1.0,2018-04-01
5694,BRYN - MAWR,Larceny,5.0,2018-04-01
5700,CAMDEN INDUSTRIAL,Burglary,1.0,2018-04-01
5704,CAMDEN INDUSTRIAL,Robbery,1.0,2018-04-01
5705,CARAG,Aggravated Assault,2.0,2018-04-01
5708,CARAG,Burglary,1.0,2018-04-01
5710,CARAG,Larceny,27.0,2018-04-01
5711,CARAG,Rape,1.0,2018-04-01
5718,CEDAR - ISLES - DEAN,Larceny,4.0,2018-04-01
5723,CEDAR RIVERSIDE,Auto Theft,1.0,2018-04-01
5724,CEDAR RIVERSIDE,Burglary,1.0,2018-04-01
5726,CEDAR RIVERSIDE,Larceny,15.0,2018-04-01
5727,CEDAR RIVERSIDE,Rape,1.0,2018-04-01
5728,CEDAR RIVERSIDE,Robbery,1.0,2018-04-01
5730,CENTRAL,Arson,1.0,2018-04-01
5731,CENTRAL,Auto Theft,4.0,2018-04-01
5732,CENTRAL,Burglary,5.0,2018-04-01
5734,CENTRAL,Larceny,6.0,2018-04-01
5735,CENTRAL,Rape,1.0,2018-04-01
5736,CENTRAL,Robbery,7.0,2018-04-01
5737,CLEVELAND,Aggravated Assault,3.0,2018-04-01
5739,CLEVELAND,Auto Theft,3.0,2018-04-01
5740,CLEVELAND,Burglary,4.0,2018-04-01
5742,CLEVELAND,Larceny,2.0,2018-04-01
5743,CLEVELAND,Rape,2.0,2018-04-01
5748,COLUMBIA PARK,Burglary,1.0,2018-04-01
5750,COLUMBIA PARK,Larceny,1.0,2018-04-01
5755,COMO,Auto Theft,4.0,2018-04-01
5756,COMO,Burglary,3.0,2018-04-01
5758,COMO,Larceny,13.0,2018-04-01
5759,COMO,Rape,3.0,2018-04-01
5763,COOPER,Auto Theft,1.0,2018-04-01
5764,COOPER,Burglary,2.0,2018-04-01
5766,COOPER,Larceny,5.0,2018-04-01
5769,CORCORAN,Aggravated Assault,1.0,2018-04-01
5771,CORCORAN,Auto Theft,1.0,2018-04-01
5772,CORCORAN,Burglary,4.0,2018-04-01
5774,CORCORAN,Larceny,7.0,2018-04-01
5776,CORCORAN,Robbery,2.0,2018-04-01
5779,DIAMOND LAKE,Auto Theft,2.0,2018-04-01
5780,DIAMOND LAKE,Burglary,3.0,2018-04-01
5782,DIAMOND LAKE,Larceny,3.0,2018-04-01
5788,DOWNTOWN EAST,Burglary,2.0,2018-04-01
5790,DOWNTOWN EAST,Larceny,10.0,2018-04-01
5793,DOWNTOWN WEST,Aggravated Assault,11.0,2018-04-01
5795,DOWNTOWN WEST,Auto Theft,5.0,2018-04-01
5796,DOWNTOWN WEST,Burglary,7.0,2018-04-01
5798,DOWNTOWN WEST,Larceny,88.0,2018-04-01
5799,DOWNTOWN WEST,Rape,4.0,2018-04-01
5800,DOWNTOWN WEST,Robbery,7.0,2018-04-01
5804,EAST HARRIET,Burglary,1.0,2018-04-01
5806,EAST HARRIET,Larceny,4.0,2018-04-01
5811,EAST ISLES,Auto Theft,1.0,2018-04-01
5812,EAST ISLES,Burglary,1.0,2018-04-01
5814,EAST ISLES,Larceny,20.0,2018-04-01
5817,EAST PHILLIPS,Aggravated Assault,3.0,2018-04-01
5819,EAST PHILLIPS,Auto Theft,2.0,2018-04-01
5820,EAST PHILLIPS,Burglary,3.0,2018-04-01
5822,EAST PHILLIPS,Larceny,5.0,2018-04-01
5824,EAST PHILLIPS,Robbery,3.0,2018-04-01
5828,ECCO,Burglary,2.0,2018-04-01
5830,ECCO,Larceny,23.0,2018-04-01
5833,ELLIOT PARK,Aggravated Assault,3.0,2018-04-01
5835,ELLIOT PARK,Auto Theft,1.0,2018-04-01
5836,ELLIOT PARK,Burglary,4.0,2018-04-01
5838,ELLIOT PARK,Larceny,22.0,2018-04-01
5840,ELLIOT PARK,Robbery,2.0,2018-04-01
5843,ERICSSON,Auto Theft,1.0,2018-04-01
5844,ERICSSON,Burglary,4.0,2018-04-01
5846,ERICSSON,Larceny,2.0,2018-04-01
5849,FIELD,Aggravated Assault,1.0,2018-04-01
5852,FIELD,Burglary,1.0,2018-04-01
5854,FIELD,Larceny,1.0,2018-04-01
5857,FOLWELL,Aggravated Assault,5.0,2018-04-01
5859,FOLWELL,Auto Theft,8.0,2018-04-01
5860,FOLWELL,Burglary,5.0,2018-04-01
5862,FOLWELL,Larceny,7.0,2018-04-01
5864,FOLWELL,Robbery,3.0,2018-04-01
5867,FULTON,Auto Theft,1.0,2018-04-01
5868,FULTON,Burglary,1.0,2018-04-01
5870,FULTON,Larceny,5.0,2018-04-01
5875,HALE,Auto Theft,1.0,2018-04-01
5876,HALE,Burglary,1.0,2018-04-01
5878,HALE,Larceny,3.0,2018-04-01
5881,HARRISON,Aggravated Assault,1.0,2018-04-01
5883,HARRISON,Auto Theft,2.0,2018-04-01
5884,HARRISON,Burglary,2.0,2018-04-01
5886,HARRISON,Larceny,8.0,2018-04-01
5888,HARRISON,Robbery,2.0,2018-04-01
5889,HAWTHORNE,Aggravated Assault,8.0,2018-04-01
5891,HAWTHORNE,Auto Theft,3.0,2018-04-01
5892,HAWTHORNE,Burglary,3.0,2018-04-01
5894,HAWTHORNE,Larceny,14.0,2018-04-01
5896,HAWTHORNE,Robbery,2.0,2018-04-01
5897,HIAWATHA,Aggravated Assault,1.0,2018-04-01
5900,HIAWATHA,Burglary,3.0,2018-04-01
5902,HIAWATHA,Larceny,10.0,2018-04-01
5904,HIAWATHA,Robbery,3.0,2018-04-01
5905,HOLLAND,Aggravated Assault,2.0,2018-04-01
5908,HOLLAND,Burglary,1.0,2018-04-01
5910,HOLLAND,Larceny,3.0,2018-04-01
5912,HOLLAND,Robbery,1.0,2018-04-01
5913,HOWE,Aggravated Assault,3.0,2018-04-01
5915,HOWE,Auto Theft,4.0,2018-04-01
5916,HOWE,Burglary,7.0,2018-04-01
5918,HOWE,Larceny,3.0,2018-04-01
5920,HOWE,Robbery,2.0,2018-04-01
5929,JORDAN,Aggravated Assault,13.0,2018-04-01
5931,JORDAN,Auto Theft,7.0,2018-04-01
5932,JORDAN,Burglary,5.0,2018-04-01
5934,JORDAN,Larceny,14.0,2018-04-01
5935,JORDAN,Rape,1.0,2018-04-01
5936,JORDAN,Robbery,3.0,2018-04-01
5940,KEEWAYDIN,Burglary,2.0,2018-04-01
5942,KEEWAYDIN,Larceny,4.0,2018-04-01
5947,KENNY,Auto Theft,1.0,2018-04-01
5950,KENNY,Larceny,1.0,2018-04-01
5952,KENNY,Robbery,1.0,2018-04-01
5963,KING FIELD,Auto Theft,2.0,2018-04-01
5964,KING FIELD,Burglary,4.0,2018-04-01
5966,KING FIELD,Larceny,13.0,2018-04-01
5969,LIND - BOHANON,Aggravated Assault,5.0,2018-04-01
5971,LIND - BOHANON,Auto Theft,2.0,2018-04-01
5972,LIND - BOHANON,Burglary,6.0,2018-04-01
5974,LIND - BOHANON,Larceny,7.0,2018-04-01
5977,LINDEN HILLS,Aggravated Assault,1.0,2018-04-01
5982,LINDEN HILLS,Larceny,3.0,2018-04-01
5988,LOGAN PARK,Burglary,1.0,2018-04-01
5990,LOGAN PARK,Larceny,2.0,2018-04-01
5993,LONGFELLOW,Aggravated Assault,2.0,2018-04-01
5995,LONGFELLOW,Auto Theft,3.0,2018-04-01
5996,LONGFELLOW,Burglary,3.0,2018-04-01
5998,LONGFELLOW,Larceny,39.0,2018-04-01
6000,LONGFELLOW,Robbery,4.0,2018-04-01
6001,LORING PARK,Aggravated Assault,5.0,2018-04-01
6003,LORING PARK,Auto Theft,1.0,2018-04-01
6004,LORING PARK,Burglary,4.0,2018-04-01
6006,LORING PARK,Larceny,28.0,2018-04-01
6007,LORING PARK,Rape,1.0,2018-04-01
6008,LORING PARK,Robbery,3.0,2018-04-01
6012,LOWRY HILL,Burglary,1.0,2018-04-01
6014,LOWRY HILL,Larceny,4.0,2018-04-01
6017,LOWRY HILL EAST,Aggravated Assault,1.0,2018-04-01
6019,LOWRY HILL EAST,Auto Theft,1.0,2018-04-01
6020,LOWRY HILL EAST,Burglary,2.0,2018-04-01
6022,LOWRY HILL EAST,Larceny,21.0,2018-04-01
6025,LYNDALE,Aggravated Assault,5.0,2018-04-01
6027,LYNDALE,Auto Theft,1.0,2018-04-01
6028,LYNDALE,Burglary,5.0,2018-04-01
6030,LYNDALE,Larceny,12.0,2018-04-01
6032,LYNDALE,Robbery,4.0,2018-04-01
6035,LYNNHURST,Auto Theft,1.0,2018-04-01
6036,LYNNHURST,Burglary,1.0,2018-04-01
6038,LYNNHURST,Larceny,6.0,2018-04-01
6041,MARCY HOLMES,Aggravated Assault,2.0,2018-04-01
6043,MARCY HOLMES,Auto Theft,4.0,2018-04-01
6044,MARCY HOLMES,Burglary,9.0,2018-04-01
6046,MARCY HOLMES,Larceny,33.0,2018-04-01
6047,MARCY HOLMES,Rape,4.0,2018-04-01
6048,MARCY HOLMES,Robbery,2.0,2018-04-01
6051,MARSHALL TERRACE,Auto Theft,1.0,2018-04-01
6052,MARSHALL TERRACE,Burglary,3.0,2018-04-01
6054,MARSHALL TERRACE,Larceny,1.0,2018-04-01
6057,MCKINLEY,Aggravated Assault,2.0,2018-04-01
6059,MCKINLEY,Auto Theft,3.0,2018-04-01
6060,MCKINLEY,Burglary,1.0,2018-04-01
6062,MCKINLEY,Larceny,5.0,2018-04-01
6064,MCKINLEY,Robbery,1.0,2018-04-01
6065,MID - CITY INDUSTRIAL,Aggravated Assault,2.0,2018-04-01
6068,MID - CITY INDUSTRIAL,Burglary,2.0,2018-04-01
6070,MID - CITY INDUSTRIAL,Larceny,6.0,2018-04-01
6073,MIDTOWN PHILLIPS,Aggravated Assault,3.0,2018-04-01
6075,MIDTOWN PHILLIPS,Auto Theft,4.0,2018-04-01
6076,MIDTOWN PHILLIPS,Burglary,1.0,2018-04-01
6078,MIDTOWN PHILLIPS,Larceny,9.0,2018-04-01
6079,MIDTOWN PHILLIPS,Rape,3.0,2018-04-01
6080,MIDTOWN PHILLIPS,Robbery,2.0,2018-04-01
6083,MINNEHAHA,Auto Theft,2.0,2018-04-01
6086,MINNEHAHA,Larceny,3.0,2018-04-01
6088,MINNEHAHA,Robbery,1.0,2018-04-01
6089,MORRIS PARK,Aggravated Assault,1.0,2018-04-01
6092,MORRIS PARK,Burglary,1.0,2018-04-01
6094,MORRIS PARK,Larceny,2.0,2018-04-01
6097,NEAR - NORTH,Aggravated Assault,10.0,2018-04-01
6099,NEAR - NORTH,Auto Theft,4.0,2018-04-01
6100,NEAR - NORTH,Burglary,3.0,2018-04-01
6101,NEAR - NORTH,Homicide,1.0,2018-04-01
6102,NEAR - NORTH,Larceny,24.0,2018-04-01
6103,NEAR - NORTH,Rape,1.0,2018-04-01
6104,NEAR - NORTH,Robbery,2.0,2018-04-01
6110,NICOLLET ISLAND - EAST BANK,Larceny,2.0,2018-04-01
6113,NORTH LOOP,Aggravated Assault,7.0,2018-04-01
6116,NORTH LOOP,Burglary,3.0,2018-04-01
6118,NORTH LOOP,Larceny,11.0,2018-04-01
6120,NORTH LOOP,Robbery,1.0,2018-04-01
6121,NORTHEAST PARK,Aggravated Assault,1.0,2018-04-01
6123,NORTHEAST PARK,Auto Theft,1.0,2018-04-01
6124,NORTHEAST PARK,Burglary,2.0,2018-04-01
6126,NORTHEAST PARK,Larceny,8.0,2018-04-01
6132,NORTHROP,Burglary,8.0,2018-04-01
6134,NORTHROP,Larceny,4.0,2018-04-01
6145,PHILLIPS WEST,Aggravated Assault,1.0,2018-04-01
6147,PHILLIPS WEST,Auto Theft,3.0,2018-04-01
6148,PHILLIPS WEST,Burglary,2.0,2018-04-01
6150,PHILLIPS WEST,Larceny,6.0,2018-04-01
6152,PHILLIPS WEST,Robbery,5.0,2018-04-01
6153,POWDERHORN PARK,Aggravated Assault,4.0,2018-04-01
6155,POWDERHORN PARK,Auto Theft,1.0,2018-04-01
6156,POWDERHORN PARK,Burglary,4.0,2018-04-01
6158,POWDERHORN PARK,Larceny,18.0,2018-04-01
6159,POWDERHORN PARK,Rape,1.0,2018-04-01
6160,POWDERHORN PARK,Robbery,2.0,2018-04-01
6161,PROSPECT PARK - EAST RIVER ROAD,Aggravated Assault,2.0,2018-04-01
6163,PROSPECT PARK - EAST RIVER ROAD,Auto Theft,1.0,2018-04-01
6164,PROSPECT PARK - EAST RIVER ROAD,Burglary,1.0,2018-04-01
6166,PROSPECT PARK - EAST RIVER ROAD,Larceny,14.0,2018-04-01
6168,PROSPECT PARK - EAST RIVER ROAD,Robbery,1.0,2018-04-01
6169,REGINA,Aggravated Assault,2.0,2018-04-01
6172,REGINA,Burglary,2.0,2018-04-01
6179,SEWARD,Auto Theft,5.0,2018-04-01
6180,SEWARD,Burglary,3.0,2018-04-01
6182,SEWARD,Larceny,18.0,2018-04-01
6188,SHERIDAN,Burglary,2.0,2018-04-01
6190,SHERIDAN,Larceny,4.0,2018-04-01
6193,SHINGLE CREEK,Aggravated Assault,1.0,2018-04-01
6195,SHINGLE CREEK,Auto Theft,1.0,2018-04-01
6196,SHINGLE CREEK,Burglary,1.0,2018-04-01
6200,SHINGLE CREEK,Robbery,1.0,2018-04-01
6211,ST. ANTHONY WEST,Auto Theft,2.0,2018-04-01
6212,ST. ANTHONY WEST,Burglary,2.0,2018-04-01
6214,ST. ANTHONY WEST,Larceny,6.0,2018-04-01
6219,STANDISH,Auto Theft,1.0,2018-04-01
6220,STANDISH,Burglary,2.0,2018-04-01
6222,STANDISH,Larceny,11.0,2018-04-01
6223,STANDISH,Rape,1.0,2018-04-01
6224,STANDISH,Robbery,1.0,2018-04-01
6225,STEVENS SQUARE - LORING HEIGHTS,Aggravated Assault,1.0,2018-04-01
6227,STEVENS SQUARE - LORING HEIGHTS,Auto Theft,2.0,2018-04-01
6230,STEVENS SQUARE - LORING HEIGHTS,Larceny,8.0,2018-04-01
6233,SUMNER - GLENWOOD,Aggravated Assault,1.0,2018-04-01
6238,SUMNER - GLENWOOD,Larceny,1.0,2018-04-01
6244,TANGLETOWN,Burglary,2.0,2018-04-01
6246,TANGLETOWN,Larceny,5.0,2018-04-01
6248,TANGLETOWN,Robbery,1.0,2018-04-01
6254,UNIVERSITY OF MINNESOTA,Larceny,5.0,2018-04-01
6256,UNIVERSITY OF MINNESOTA,Robbery,1.0,2018-04-01
6257,VENTURA VILLAGE,Aggravated Assault,3.0,2018-04-01
6259,VENTURA VILLAGE,Auto Theft,4.0,2018-04-01
6260,VENTURA VILLAGE,Burglary,6.0,2018-04-01
6262,VENTURA VILLAGE,Larceny,17.0,2018-04-01
6263,VENTURA VILLAGE,Rape,3.0,2018-04-01
6264,VENTURA VILLAGE,Robbery,2.0,2018-04-01
6268,VICTORY,Burglary,1.0,2018-04-01
6270,VICTORY,Larceny,1.0,2018-04-01
6272,VICTORY,Robbery,1.0,2018-04-01
6276,WAITE PARK,Burglary,4.0,2018-04-01
6278,WAITE PARK,Larceny,4.0,2018-04-01
6279,WAITE PARK,Rape,1.0,2018-04-01
6281,WEBBER - CAMDEN,Aggravated Assault,8.0,2018-04-01
6283,WEBBER - CAMDEN,Auto Theft,8.0,2018-04-01
6284,WEBBER - CAMDEN,Burglary,1.0,2018-04-01
6286,WEBBER - CAMDEN,Larceny,6.0,2018-04-01
6288,WEBBER - CAMDEN,Robbery,1.0,2018-04-01
6289,WENONAH,Aggravated Assault,2.0,2018-04-01
6290,WENONAH,Arson,1.0,2018-04-01
6291,WENONAH,Auto Theft,2.0,2018-04-01
6292,WENONAH,Burglary,3.0,2018-04-01
6294,WENONAH,Larceny,3.0,2018-04-01
6296,WENONAH,Robbery,1.0,2018-04-01
6302,WEST CALHOUN,Larceny,6.0,2018-04-01
6305,WHITTIER,Aggravated Assault,4.0,2018-04-01
6307,WHITTIER,Auto Theft,7.0,2018-04-01
6308,WHITTIER,Burglary,4.0,2018-04-01
6310,WHITTIER,Larceny,35.0,2018-04-01
6311,WHITTIER,Rape,1.0,2018-04-01
6312,WHITTIER,Robbery,1.0,2018-04-01
6313,WILLARD - HAY,Aggravated Assault,6.0,2018-04-01
6315,WILLARD - HAY,Auto Theft,5.0,2018-04-01
6316,WILLARD - HAY,Burglary,8.0,2018-04-01
6317,WILLARD - HAY,Homicide,1.0,2018-04-01
6318,WILLARD - HAY,Larceny,13.0,2018-04-01
6319,WILLARD - HAY,Rape,2.0,2018-04-01
6320,WILLARD - HAY,Robbery,6.0,2018-04-01
6321,WINDOM,Aggravated Assault,1.0,2018-04-01
6323,WINDOM,Auto Theft,3.0,2018-04-01
6324,WINDOM,Burglary,1.0,2018-04-01
6326,WINDOM,Larceny,10.0,2018-04-01
6332,WINDOM PARK,Burglary,3.0,2018-04-01
6334,WINDOM PARK,Larceny,3.0,2018-04-01
6335,WINDOM PARK,Rape,1.0,2018-04-01
6337,** NOT ASSIGNED **,Aggravated Assault,2.0,2018-05-01
6339,** NOT ASSIGNED **,Auto Theft,2.0,2018-05-01
6342,** NOT ASSIGNED **,Larceny,7.0,2018-05-01
6344,** NOT ASSIGNED **,Robbery,1.0,2018-05-01
6350,ARMATAGE,Larceny,4.0,2018-05-01
6353,AUDUBON PARK,Aggravated Assault,2.0,2018-05-01
6355,AUDUBON PARK,Auto Theft,2.0,2018-05-01
6356,AUDUBON PARK,Burglary,11.0,2018-05-01
6358,AUDUBON PARK,Larceny,6.0,2018-05-01
6359,AUDUBON PARK,Rape,1.0,2018-05-01
6363,BANCROFT,Auto Theft,2.0,2018-05-01
6364,BANCROFT,Burglary,3.0,2018-05-01
6366,BANCROFT,Larceny,3.0,2018-05-01
6372,BELTRAMI,Burglary,1.0,2018-05-01
6374,BELTRAMI,Larceny,1.0,2018-05-01
6377,BOTTINEAU,Aggravated Assault,1.0,2018-05-01
6379,BOTTINEAU,Auto Theft,2.0,2018-05-01
6380,BOTTINEAU,Burglary,2.0,2018-05-01
6382,BOTTINEAU,Larceny,3.0,2018-05-01
6396,BRYN - MAWR,Burglary,1.0,2018-05-01
6398,BRYN - MAWR,Larceny,6.0,2018-05-01
6406,CAMDEN INDUSTRIAL,Larceny,1.0,2018-05-01
6409,CARAG,Aggravated Assault,2.0,2018-05-01
6411,CARAG,Auto Theft,3.0,2018-05-01
6412,CARAG,Burglary,9.0,2018-05-01
6414,CARAG,Larceny,21.0,2018-05-01
6416,CARAG,Robbery,2.0,2018-05-01
6417,CEDAR - ISLES - DEAN,Aggravated Assault,1.0,2018-05-01
6420,CEDAR - ISLES - DEAN,Burglary,1.0,2018-05-01
6422,CEDAR - ISLES - DEAN,Larceny,4.0,2018-05-01
6425,CEDAR RIVERSIDE,Aggravated Assault,1.0,2018-05-01
6427,CEDAR RIVERSIDE,Auto Theft,4.0,2018-05-01
6428,CEDAR RIVERSIDE,Burglary,1.0,2018-05-01
6430,CEDAR RIVERSIDE,Larceny,19.0,2018-05-01
6432,CEDAR RIVERSIDE,Robbery,3.0,2018-05-01
6433,CENTRAL,Aggravated Assault,5.0,2018-05-01
6434,CENTRAL,Arson,1.0,2018-05-01
6435,CENTRAL,Auto Theft,3.0,2018-05-01
6436,CENTRAL,Burglary,6.0,2018-05-01
6438,CENTRAL,Larceny,16.0,2018-05-01
6440,CENTRAL,Robbery,5.0,2018-05-01
6441,CLEVELAND,Aggravated Assault,2.0,2018-05-01
6442,CLEVELAND,Arson,1.0,2018-05-01
6443,CLEVELAND,Auto Theft,1.0,2018-05-01
6444,CLEVELAND,Burglary,2.0,2018-05-01
6446,CLEVELAND,Larceny,8.0,2018-05-01
6447,CLEVELAND,Rape,1.0,2018-05-01
6448,CLEVELAND,Robbery,1.0,2018-05-01
6454,COLUMBIA PARK,Larceny,1.0,2018-05-01
6457,COMO,Aggravated Assault,5.0,2018-05-01
6459,COMO,Auto Theft,5.0,2018-05-01
6460,COMO,Burglary,3.0,2018-05-01
6462,COMO,Larceny,19.0,2018-05-01
6467,COOPER,Auto Theft,2.0,2018-05-01
6468,COOPER,Burglary,2.0,2018-05-01
6470,COOPER,Larceny,9.0,2018-05-01
6472,COOPER,Robbery,1.0,2018-05-01
6473,CORCORAN,Aggravated Assault,1.0,2018-05-01
6475,CORCORAN,Auto Theft,2.0,2018-05-01
6476,CORCORAN,Burglary,7.0,2018-05-01
6478,CORCORAN,Larceny,5.0,2018-05-01
6484,DIAMOND LAKE,Burglary,1.0,2018-05-01
6486,DIAMOND LAKE,Larceny,2.0,2018-05-01
6494,DOWNTOWN EAST,Larceny,14.0,2018-05-01
6497,DOWNTOWN WEST,Aggravated Assault,8.0,2018-05-01
6499,DOWNTOWN WEST,Auto Theft,12.0,2018-05-01
6500,DOWNTOWN WEST,Burglary,6.0,2018-05-01
6502,DOWNTOWN WEST,Larceny,115.0,2018-05-01
6503,DOWNTOWN WEST,Rape,6.0,2018-05-01
6504,DOWNTOWN WEST,Robbery,11.0,2018-05-01
6508,EAST HARRIET,Burglary,1.0,2018-05-01
6510,EAST HARRIET,Larceny,8.0,2018-05-01
6513,EAST ISLES,Aggravated Assault,3.0,2018-05-01
6515,EAST ISLES,Auto Theft,1.0,2018-05-01
6518,EAST ISLES,Larceny,18.0,2018-05-01
6521,EAST PHILLIPS,Aggravated Assault,15.0,2018-05-01
6522,EAST PHILLIPS,Arson,1.0,2018-05-01
6523,EAST PHILLIPS,Auto Theft,3.0,2018-05-01
6524,EAST PHILLIPS,Burglary,3.0,2018-05-01
6526,EAST PHILLIPS,Larceny,20.0,2018-05-01
6528,EAST PHILLIPS,Robbery,4.0,2018-05-01
6532,ECCO,Burglary,5.0,2018-05-01
6534,ECCO,Larceny,16.0,2018-05-01
6537,ELLIOT PARK,Aggravated Assault,4.0,2018-05-01
6539,ELLIOT PARK,Auto Theft,2.0,2018-05-01
6540,ELLIOT PARK,Burglary,1.0,2018-05-01
6542,ELLIOT PARK,Larceny,39.0,2018-05-01
6543,ELLIOT PARK,Rape,8.0,2018-05-01
